Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Liam Norris,SP,ARI,,31,19.8,,Rise,40 / 50,45 / 50,50 / 55,30 / 40,20 / 45,,,90-94,95,40,sa3014543
Michael Mercado,SP,TBR,,31,22.1277777,,,45 / 50,40 / 50,45 / 55,,45 / 55,2200,2250,90-94,95,40,sa3005024
Chris Mokma,SP,MIA,,31,20.3055555,,,45 / 50,40 / 50,,45 / 55,25 / 55,2250,2200,89-93,94,40,sa3011750
Kyle Bradish,SIRP,BAL,,31,24.7194444,,Rise,50 / 50,50 / 50,55 / 55,45 / 50,30 / 40,2250,2550,92-94,97,40,24586
Steven Jennings,SP,PIT,,31,22.55,,Rise,40 / 45,50 / 55,45 / 50,35 / 45,35 / 60,2500,3000,88-92,93,40,sa3004812
Josh Burgmann,SP,CHC,,31,23.3444444,4/1/17,,40 / 45,40 / 50,55 / 60,40 / 45,35 / 50,2350,3000,91-93,97,40,sa3011409
Ronald Bolaños,SP,KCR,,31,24.7722222,,Sink,60 / 60,45 / 45,45 / 45,45 / 45,40 / 45,2250,2650,90-96,99,40,20041
Michael Plassmeyer,SP,SFG,,31,24.5722222,,Tail,45 / 45,45 / 45,45 / 45,50 / 55,55 / 60,2300,2150,87-91,93,40,23191
Robinson Pina,SIRP,LAA,,31,22.5138888,,,50 / 60,,50 / 55,40 / 45,20 / 30,2450,,89-93,95,35+,sa3003123
Connor Jones,SIRP,STL,,31,26.6416666,,Sink,55 / 55,50 / 55,,40 / 40,35 / 35,1900,2600,92-95,97,35+,sa738697
Wandisson Charles,SIRP,OAK,,31,24.7333333,,,70 / 70,50 / 55,,,30 / 35,2200,,94-98,99,35+,sa874818
Julian Garcia,MIRP,PHI,,31,26.05,,Rise,55 / 55,,55 / 55,50 / 50,50 / 50,2700,2800,87-90,91,35+,sa918182
Jagger Haynes,SP,SDP,,31,18.6972222,,,40 / 50,40 / 50,,35 / 50,20 / 50,,,88--92,94,35+,
Juan Pablo Lopez,SP,HOU,,31,22.2888888,,,40 / 40,,45 / 50,45 / 55,35 / 50,2300,2150,90-93,94,35+,sa3004647
Dany Jiménez,SIRP,TOR,,31,25.4388888,,Rise,60 / 60,60 / 60,,,30 / 30,2450,2400,93-96,97,35+,21170
T.J. Zeuch,SP,TOR,,31,25.8333333,,Sink,45 / 45,40 / 40,,45 / 45,45 / 55,2200,2250,90-93,94,35+,19269
Matt Peacock,MIRP,ARI,,32,27.2611111,,Sink,55 / 55,45 / 50,,50 / 55,45 / 45,2100,2800,90-94,95,40,20339
Alexander Alberto,SP,TBR,,32,19.5805555,,,,,,,,,,,,40,
Alex Wells,SP,BAL,,32,24.2611111,,Rise,35 / 35,45 / 45,55 / 55,50 / 55,60 / 70,2250,2550,86-89,91,40,19845
David Bednar,SIRP,PIT,,32,26.6416666,,None,60 / 60,,60 / 60,,35 / 40,2400,2500,92-95,97,40,19569
Wilkel Hernandez,SP,DET,,32,22.1333333,11/15/20,Rise,50 / 55,,50 / 55,40 / 50,35 / 50,2350,2550,90-93,96,40,sa918026
Noah Murdock,SP,KCR,,32,22.7805555,,Sink,55 / 55,,55 / 55,45 / 50,40 / 50,2150,2800,90-95,97,40,sa919012
Jake Wong,SP,SFG,,32,24.7444444,,Sink,50 / 50,,45 / 50,45 / 50,45 / 55,2200,2450,91-94,96,40,23095
Miguel Medrano,SIRP,CIN,,32,23.4083333,,Rise,40 / 45,,45 / 50,55 / 60,45 / 60,2200,2500,89-92,93,35+,sa947763
Roel Ramírez,SIRP,STL,,32,26.0138888,,Cut,45 / 45,45 / 45,,,40 / 40,2350,2700,92-96,97,35+,16470
Kyle Dohy,SIRP,PHI,,32,24.7055555,,Tail,50 / 50,40 / 40,,60 / 60,30 / 30,2400,2450,90-93,96,35+,20334
Jordan Sheffield,SIRP,COL,,32,26,4/11/13,Rise,60 / 60,,70 / 70,60 / 60,30 / 30,2600,3200,95-97,99,35+,19682
Chase Walter,SIRP,SDP,,32,22.8472222,,,55 / 55,50 / 55,,,30 / 40,,,94-96,98,35+,
Julio Robaina,SP,HOU,,32,20.1888888,,Cut/Rise,40 / 45,,50 / 55,45 / 50,35 / 55,2200,2800,89-92,94,35+,sa3006817
Luis Rijo,SP,MIN,,32,22.7361111,,None,40 / 40,,55 / 55,45 / 50,50 / 60,2050,2650,90-94,96,35+,sa916950
Nick Sandlin,SIRP,CLE,,33,24.3916666,,Tail,45 / 45,50 / 55,50 / 50,50 / 55,50 / 60,2200,2750,90-93,95,40,20517
Austin Roberts,SP,PIT,,33,22.8444444,,,50 / 55,,50 / 50,55 / 60,30 / 40,2250,,92-95,96,40,sa3010254
Mason Englert,SP,TEX,,33,21.5833333,,,40 / 45,,50 / 55,40 / 50,30 / 50,,,90-93,95,40,22288
Manuel Rodríguez,SIRP,CHC,,33,24.8194444,,,65 / 65,,55 / 55,,35 / 35,2350,,94-97,99,40,20794
Albert Abreu,SIRP,NYY,,33,25.6805555,,Tail,60 / 60,55 / 55,,60 / 60,30 / 30,2250,2600,95-99,101,35+,17485
